idn,author,author2,title,subtitle,responsible,publisher,place,pages,pub_year,links,ddc
1263036686,"Kagelmann, H. Jürgen",,"Sammelrezension: Comics, Karikaturen, Zeichentrickfilme",,H. Jürgen Kagelmann,Philipps-Universität Marburg; Niemeyer,Marburg; Tübingen,Online-Ressource,1989; 1989,https://doi.org/10.25969/mediarep/10609; https://nbn-resolving.org/urn:nbn:de:101:1-2022072013201015190207; https://d-nb.info/1263036686/34; https://mediarep.org/handle/doc/11518,741.5
1263044085,"Kagelmann, H. Jürgen",,Sammelrezension: Zeichentrickfilme und Comics,,H. Jürgen Kagelmann,Philipps-Universität Marburg; Niemeyer,Marburg; Tübingen,Online-Ressource,1989; 1989,https://doi.org/10.25969/mediarep/10439; https://nbn-resolving.org/urn:nbn:de:101:1-2022072014115661313852; https://d-nb.info/1263044085/34; https://mediarep.org/handle/doc/11348,741.5
126304042X,"Kagelmann, H. Jürgen",,Sammelrezension: Mehr über Comics,,H. Jürgen Kagelmann,Philipps-Universität Marburg; Niemeyer,Marburg; Tübingen,Online-Ressource,1988; 1988,https://doi.org/10.17192/ep1988.2.6345; https://nbn-resolving.org/urn:nbn:de:101:1-2022072013472363416802; https://d-nb.info/126304042X/34; https://mediarep.org/handle/doc/11603,741.5
1263034462,"Kagelmann, H. Jürgen",,Sammelrezension: Comics,,H. Jürgen Kagelmann,Philipps-Universität Marburg; Niemeyer,Marburg; Tübingen,Online-Ressource,1986; 1986,https://doi.org/10.25969/mediarep/11310; https://nbn-resolving.org/urn:nbn:de:101:1-2022072013013244192476; https://d-nb.info/1263034462/34; https://mediarep.org/handle/doc/12219,741.5
1263069991,"Pforte, Dietger",,Sammelrezension: 'Medium Comic',,Dietger Pforte,Philipps-Universität Marburg; Niemeyer,Marburg; Tübingen,Online-Ressource,1985; 1985,https://doi.org/10.25969/mediarep/11456; https://nbn-resolving.org/urn:nbn:de:101:1-2022072018174860004821; https://d-nb.info/1263069991/34; https://mediarep.org/handle/doc/12365,741.5
1342824938,"Marlali, Ekin","Balcisoy, Selim",Automated inpainting of Tex Willer comics: adapting manga techniques for western comic transformation,,"by Ekin Marlali, Selim Balcisoy",,,1 Online-Ressource.,,https://doi.org/10.1007/s00371-024-03440-0; https://nbn-resolving.org/urn:nbn:de:101:1-2409231248216.771530509338; https://d-nb.info/1342824938/34; https://doi.org/10.1007/s00371-024-03440-0,741.5
1395430632,"Milesi, Mikaela Elizabeth","Alfredo, Riordan; Echeverria, Vanessa; Yan, Lixiang; Zhao, Linxuan; Jin, Yueqiao; Gašević, Dragan; Tsai, Yi-Shan; Martinez-Maldonado, Roberto",From comic panels to clinical practice: data comics as a learning analytics tool in nursing simulation,,"by Mikaela Elizabeth Milesi, Riordan Alfredo, Vanessa Echeverria, Lixiang Yan, Linxuan Zhao, Yueqiao Jin, Dragan Gašević, Yi-Shan Tsai, Roberto Martinez-Maldonado",,,1 Online-Ressource.,,https://doi.org/10.1186/s40561-026-00434-4; https://nbn-resolving.org/urn:nbn:de:101:1-2604072103267.856709987606; https://d-nb.info/1395430632/34; https://doi.org/10.1186/s40561-026-00434-4,741.5
1346262810,"Suprapto, Nadi","Nisa’, Khoirun; Sya’roni, Imam; Adam, Alif Syaiful","Scientific mapping and production analysis of digital comic, animation, and digital cartoon in education",,"by Nadi Suprapto, Khoirun Nisa’, Imam Sya’roni, Alif Syaiful Adam",,,1 Online-Ressource.,,https://doi.org/10.1057/s41599-024-03513-4; https://nbn-resolving.org/urn:nbn:de:101:1-2410272059178.416780514677; https://d-nb.info/1346262810/34; https://doi.org/10.1057/s41599-024-03513-4,741.5
1318678250,"Ikuta, Hikaru","Wöhler, Leslie; Aizawa, Kiyoharu",Statistical characteristics of comic panel viewing times,,"by Hikaru Ikuta, Leslie Wöhler, Kiyoharu Aizawa",,,1 Online-Ressource.,,https://doi.org/10.1038/s41598-023-47120-w; https://nbn-resolving.org/urn:nbn:de:101:1-2024020809184171448621; https://d-nb.info/1318678250/34; https://doi.org/10.1038/s41598-023-47120-w,741.5
137934431X,"Aringer, Johanna","Wallner, Lars; Berglund, Ammie",Students learning about evolution through a comic book,,"by Johanna Aringer, Lars Wallner, Ammie Berglund",,,1 Online-Ressource.,,https://doi.org/10.1186/s12052-025-00223-6; https://nbn-resolving.org/urn:nbn:de:101:1-2510201005321.504497100376; https://d-nb.info/137934431X/34; https://doi.org/10.1186/s12052-025-00223-6,741.5
