idn,author,gnd_modified
1148137416,"Kowalski, David",(DE-588)1133097243
117207285X,"Voit, Jochen",(DE-588)140805923
1151949841,"Voit, Jochen",(DE-588)140805923
1144390117,"Sarx, Tobias",(DE-588)13406691X
1161458441,"Sarx, Tobias",(DE-588)13406691X
1173466142,"Häberlen, Joachim C.",(DE-588)1035330555
123736258X,"Wicke, Finja",unknown
1270069314,"Gerhards, Thomas",unknown
1161139265,"Daphi, Priska",unknown
1228908168,"Frank, Dirk",unknown
116113770X,"Wiggershaus, Rolf",(DE-588)120664658
1228910057,"Gärtner, Melanie",unknown
1161138218,"Sauter, Anke",unknown
113079749X,"Fuhrer, Armin",(DE-588)131668544
1131814045,"Juchler, Ingo",(DE-588)112787061
1334193029,"Herasimenka, Aliaksandr",(DE-588)115018762X
1139207547,"Caviezel, Werner",(DE-588)1140241737
1133089968,"Funke, Hajo",(DE-588)122730992
1242637753,"Kim, Seongcheol",unknown
1140709178,"Adamczak, Bini",(DE-588)13261975X
1130160580,"Adamczak, Bini",(DE-588)13261975X
1156532604,"Kasper, Sebastian",(DE-588)1156195721
1177260433,"M., Gina",unknown
1140170597,"Göpfert, Claus-Jürgen",(DE-588)1076176607
1131095111,"Göpfert, Claus-Jürgen",(DE-588)1076176607
1099715342,"Koischwitz, Svea",(DE-588)1121311113
1193261007,"Bloch, Ernst",(DE-588)118511742
1140934228,"Gilcher-Holtey, Ingrid",(DE-588)11100618X
1328388816,"Heinen, Deborah",unknown
1125230770,"Kumpfmüller, Valentina",unknown
1131377974,"Stallmann, Martin",(DE-588)1135691819
1257878107,"Höckesfeld, Corinna",unknown
119227895X,"Claus-Kim, Daniela",(DE-588)1192338464
1120716519,"Michels, Eckard",(DE-588)120933284
1126117048,"Michels, Eckard",(DE-588)120933284
1150263296,"Michels, Eckard",(DE-588)120933284
1234397668,"Schuller, Marianne",unknown
1257783459,"König, Michael",unknown
1124155414,"Kunze, Jan",unknown
1270018701,"Moll, Martin",unknown
1285203232,"Kraft, Sandra",unknown
1150292253,"Schuller, Marianne",unknown
1292157224,"Leipold, Jürgen",(DE-588)1249937078
1108566553,"Auge, Oliver",(DE-588)115444211
1053402309,"Negt, Oskar",(DE-588)11858684X
1124267530,"Negt, Oskar",(DE-588)11858684X
1176266810,"Sehn, Moritz",unknown
1257423606,"Sehn, Moritz",unknown
1187067490,"Robbe, Ksenia",unknown
1334144427,"Krämer, Felix",unknown
1098154673,"Hahn, Ulla",(DE-588)118994212
1076172806,"Schroeder, Klaus-Peter",(DE-588)122569512
110639870X,"Daiber, Birgit",(DE-588)132468190
971096562,"Sonnemann, Ulrich",(DE-588)119061848
1171733224,"Sonnemann, Ulrich",(DE-588)119061848
