idn,titel,author,rela,gnd
1242917020,"""Black and White, unite and fight""","Schmelzer, Pablo",Verfasser,(DE-588)1243113863; https://d-nb.info/gnd/1243113863; (DE-101)1243113863
1271150549,"""Brecht den roten Uni-Terror!"" - '1968' im Visier der extremen Rechten","Virchow, Fabian",Verfasser,(DE-588)132413884; https://d-nb.info/gnd/132413884; (DE-101)132413884
1246963124,Die Schule der Kapitulation,"Wengraf, Michael",Verfasser,(DE-588)1112574093; https://d-nb.info/gnd/1112574093; (DE-101)1112574093
1238265898,Die Studentenbewegungen in den Vereinigten Staaten und der Bundesrepublik Deutschland der sechziger Jahre.,"Juchler, Ingo",Verfasser,(DE-588)112787061; https://d-nb.info/gnd/112787061; (DE-101)112787061
1251781314,Diskus,unknown,unknown,unknown
1314084127,"Forever Achtundsechzig: Rezension zu ""1968 - Soziale Bewegungen, geistige WegbereiterInnen"" von Jens Bonnemann, Paul Helfritzsch, Thomas Zingelmann (Hg.) und ""Im Vorraum - Lebenswelten Kritischer Theorie um 1969"" von Dennis Göttel und Christine Wessely (Hg.)","Zwarg, Robert",Verfasser,unknown
1232015539,Genossen! Wir haben Fehler gemacht,"Fichter, Tilman",Verfasser,(DE-588)12200048X; https://d-nb.info/gnd/12200048X; (DE-101)12200048X
1245095935,Genossen! Wir haben Fehler gemacht,"Fichter, Tilman",Verfasser,(DE-588)12200048X; https://d-nb.info/gnd/12200048X; (DE-101)12200048X
1221079913,"Lebensführung, Lebenskunst, Lebenssinn",unknown,unknown,unknown
1229987045,"Lebensführung, Lebenskunst, Lebenssinn",unknown,unknown,unknown
1232604518,Mai 68 - une approche transatlantique,unknown,unknown,unknown
1226243940,Mai 68 - une approche transatlantique,unknown,unknown,unknown
1237747635,Nachgelassene Schriften/ Die Studentenbewegung und ihre Folgen,"Marcuse, Herbert",Verfasser,unknown
1251511694,Německý rok 1968,"Valenta, Aleš",Verfasser,(DE-588)188370781; https://d-nb.info/gnd/188370781; (DE-101)188370781
1288718594,Protest als sprachliches Umbruchphänomen der späten 1960er Jahre - Aushandeln einer politischen Ausdrucksform,"Kämper, Heidrun",Verfasser,(DE-588)118165127; https://d-nb.info/gnd/118165127; (DE-101)118165127
131697085X,"Rudi Dutschke, der Redner: Rezension zu ""Die Stimme der Revolution: Rudi Dutschke in zwölf Originalaufnahmen"" von Carsten Prien (Hg.)","Kraushaar, Wolfgang",Verfasser,unknown
124493724X,"Schaffhausen muss sterben, damit wir leben können","Brühlmann, Kevin",Verfasser,(DE-588)1246567407; https://d-nb.info/gnd/1246567407; (DE-101)1246567407
128915239X,Studentenbewegung und Studentenprotest. Zum Wandel eines Prägefaktors politischer Kultur,"Schenke, Julian",Verfasser,(DE-588)1167969928; https://d-nb.info/gnd/1167969928; (DE-101)1167969928
1192524098,50 Jahre '68,unknown,unknown,unknown
1300887249,Brüchige Allianzen: LSBTIQ Aktivismen im Kontext der intersektionalen und dekolonialen Praxis der südafrikanischen Studierendenbewegung,"Daniel, Antje",Verfasser,unknown
1232286281,"China's guided memory: how historical events are remembered, glorified, reinterpreted, and kept quit","Hilpert, Hanns Günther",Verfasser,(DE-588)118131818; https://d-nb.info/gnd/118131818; (DE-101)118131818
1202962874,Das Problem der Revolution in Deutschland,unknown,unknown,unknown
1218993758,Die 60er-Jahre,unknown,unknown,unknown
1223307891,Die Bonner Republik 1960-1975 - Aufbrüche vor und nach »1968«,unknown,unknown,unknown
118468653X,"Die Bonner Republik: 1960-1975 - Aufbrüche vor und nach ""1968""",unknown,unknown,unknown
1221273914,"Fritz Bauer und ""Achtundsechzig""",unknown,unknown,unknown
1209562812,"Fritz Bauer und ""Achtundsechzig""",unknown,unknown,unknown
1286189993,Lu Seegers (Hrsg.): 1968. Gesellschaftliche Nachwirkungen auf dem Lande. Göttingen: Wallstein 2020 (341 S.) [Rezension],"Zumhof, Tim",Verfasser,(DE-588)1019117664; https://d-nb.info/gnd/1019117664; (DE-101)1019117664
121871090X,Messengers of the free word,"Kaliski, Bartosz",Verfasser,(DE-588)1022250345; https://d-nb.info/gnd/1022250345; (DE-101)1022250345
1224831896,Messengers of the Free Word,"Kaliski, Bartosz",Verfasser,(DE-588)1022250345; https://d-nb.info/gnd/1022250345; (DE-101)1022250345
1220417300,"""Regierungszeit des Mittelbaus""?",unknown,unknown,unknown
1205389474,"""Regierungszeit des Mittelbaus""?",unknown,unknown,unknown
1201977509,Scherben,unknown,unknown,unknown
1209560143,Schreibweisen der Kritik,unknown,unknown,unknown
1200232755,Schule und Bildungspolitik in der 68er-Pädagogik,"Behnken, Imbke",Verfasser,(DE-588)115707441; https://d-nb.info/gnd/115707441; (DE-101)115707441
1243700106,Social Movements and Public Policies in Chile: Analysis of the Student Movement of 2011 and the No+AFP movement of 2016,"Olivares, Alejandro L.",Verfasser,unknown
1265811849,Student und Demokratie: Das politische Potenzial deutscher Studierender in Geschichte und Gegenwart,"Schenke, Julian",Verfasser,(DE-588)1167969928; https://d-nb.info/gnd/1167969928; (DE-101)1167969928
1206263539,Studierende als Akteure im politischen Wandel Afrikas,"Deutschmann, Anna",Verfasser,(DE-588)1214379087; https://d-nb.info/gnd/1214379087; (DE-101)1214379087
1212932528,Suhrkamp-Revolte und Westdeutsche Studentenbewegung,"Werner, Felix",Verfasser,unknown
1212932536,Suhrkamp-Revolte und Westdeutsche Studentenbewegung,"Werner, Felix",Verfasser,unknown
1222997096,A juventude de 1968 em debate no romance francês,"Gonçalves, Luís",Verfasser,unknown
1222056852,"Froh darüber, dabei gewesen zu sein","Krauss, Hannes",Verfasser,(DE-588)172211808; https://d-nb.info/gnd/172211808; (DE-101)172211808
1222056925,"Marxistische Theorie(n)? : ""Kursbuch"", ""Literaturmagazin"" und das ""lange 68""","Lampe, Josch",Verfasser,unknown
1341463516,Professor Löffler hebelt die Linke aus,"Giovannini, Norbert Michael",Verfasser,(DE-588)123532868; https://d-nb.info/gnd/123532868; (DE-101)123532868
1222056976,"REAL – Revista de Estudos Alemães : 2019, No. 8 = Dem Morgenrot entgegen? Marx und die 68er",unknown,unknown,unknown
134146394X,Zum Sozialistischen Patientenkollektiv (SPK) Heidelberg,"Kaiser, Marina",Verfasser,unknown
1203466994,1968,"Zingelmann, Thomas",Verfasser,(DE-588)1201104866; https://d-nb.info/gnd/1201104866; (DE-101)1201104866
1185593284,1968,unknown,unknown,unknown
1334196699,"Aller guten Dinge sind drei: Rezension zu ""Die 68er-Bewegung International - Eine illustrierte Chronik 1960-1969"" von Wolfgang Kraushaar","Siegfried, Detlef",Verfasser,unknown
118719266X,Das andere Achtundsechzig - Als Gretchen und Helke und Sarah und Sigrid Revolution machten,"König, Armin",Verfasser,unknown
1189909022,Die 68er plus 50 Jahre,unknown,unknown,unknown
1191775267,Die 68er plus 50 Jahre,unknown,unknown,unknown
1209267470,Die Studentenbewegung in England seit Ende der sechziger Jahre,"Brandorff, Helmut",Verfasser,unknown
1209267470,Die Studentenbewegung in England seit Ende der sechziger Jahre,"Brandorff, Helmut",Verfasser,unknown
1199529761,Herbert Marcuse in der Theoriediskussion um die sexuelle Befreiung der Frau,"Lütkebomert, Pia",Verfasser,unknown
1194084249,Herbert Marcuse in der Theoriediskussion um die sexuelle Befreiung der Frau,"Lütkebomert, Pia",Verfasser,unknown
1178281892,Herbst in Hamamatsu,"Linhart, Ruth",Verfasser,(DE-588)1090934610; https://d-nb.info/gnd/1090934610; (DE-101)1090934610
1191578372,Lenz,"Schneider, Peter",Verfasser,(DE-588)118758675; https://d-nb.info/gnd/118758675; (DE-101)118758675
1210271508,"""Mythos 1968"" im regionalgeschichtlichen Fokus - Unterrichtsideen und Quellen für den Geschichts- und Politikunterricht",unknown,unknown,unknown
1181982073,Protest in der Provinz: 68,"Feucht, Stefan",Herausgeber,(DE-588)120300079; https://d-nb.info/gnd/120300079; (DE-101)120300079
120663765X,Protestforschung zwischen allen Stühlen,"Ullrich, Peter",Verfasser,unknown
132860733X,"Revolution und Heilserwartung: Che Guevara, die Studentenbewegung und der Neue Mensch","Böckmann, Lukas",Verfasser,unknown
120229376X,Schule und Bildungspolitik in der 68er-Pädagogik,"Behnken, Imbke",Verfasser,(DE-588)115707441; https://d-nb.info/gnd/115707441; (DE-101)115707441
1181236258,Spiel der Zeit,"Hahn, Ulla",Verfasser,(DE-588)118994212; https://d-nb.info/gnd/118994212; (DE-101)118994212
1158684223,Spontis,"Kasper, Sebastian",Verfasser,(DE-588)1156195721; https://d-nb.info/gnd/1156195721; (DE-101)1156195721
1193747740,Studentische Gewalt,unknown,unknown,unknown
1202981984,Studentské hnutí odporu,"Šárka, Josef",Verfasser,(DE-588)1201579724; https://d-nb.info/gnd/1201579724; (DE-101)1201579724
1200155327,"Was war, was bleibt",unknown,unknown,unknown
120081004X,Wölfe im Frühling,"Jurić, Mijo",Verfasser,(DE-588)1012028119; https://d-nb.info/gnd/1012028119; (DE-101)1012028119
1190834588,Wohin geht unsere offene Gesellschaft?,"Heidlberger, Bruno",Verfasser,(DE-588)1204031126; https://d-nb.info/gnd/1204031126; (DE-101)1204031126
1228911037,"Es gibt keine Theorie mehr, die aufs Ganze geht : zum Abschluss der 68er-Bürgeruni-Reihe standen die gesellschaftlichen Großerzählungen im Mittelpunkt","Frye, Bernd",Verfasser,unknown
1172851743,1968 - als die Revolte nach Hannover kam,"Benne, Simon",Verfasser,(DE-588)143996878; https://d-nb.info/gnd/143996878; (DE-101)143996878
1152079360,1968 – Der lange Protest,"Vinen, Richard",Verfasser,(DE-588)171048423; https://d-nb.info/gnd/171048423; (DE-101)171048423
1151541532,1968,"Vinen, Richard",Verfasser,(DE-588)171048423; https://d-nb.info/gnd/171048423; (DE-101)171048423
