idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
1181236258,"Hahn, Ulla",1946-04-30,,Brachthausen,,Schriftstellerin; Lyrikerin; Literaturwissenschaftlerin; Weibliche Lehrbeauftragte; Rundfunkredakteurin; Journalistin; Librettistin,118994212
1158684223,"Kasper, Sebastian",1984,,Ulm,,Historiker,1156195721
1228911037,"Frye, Bernd",1976-10-25,,Wildeshausen,,Arzt; Medizinisch-technischer Assistent,unknown
1152079360,"Vinen, Richard",1963,,Birmingham,,Historiker,171048423
1151541532,"Vinen, Richard",1963,,Birmingham,,Historiker,171048423
115710892X,"Juchler, Ingo",1962,,Mannheim,,Politologe; Hochschullehrer,112787061
1136621202,"Großbölting, Thomas",1969,,Dingden,,Historiker; Theologe; Hochschullehrer,115379428
1150317205,"Deppe, Frank",1941-09-23,,Frankfurt am Main,,Politologe; Hochschullehrer; Publizist,115384324
114906692X,"Leggewie, Claus",1950,,Wanne-Eickel,,Politologe; Hochschullehrer; Publizist; Autor,120579936
1145165516,"Mäder, Ueli",1951-05-18,,Beinwil am See,,Soziologe,121117170
